date,equity,position,ret
2020-10-21,0.9997619690120017,1,-0.00023803098799834999
2020-10-22,0.9999613403803963,1,0.0001994188362572924
2020-10-23,0.9667214492417306,1,-0.033241176229893865
2020-10-26,0.9673924443160656,1,0.0006940935001094051
2020-10-27,0.9577328261833917,1,-0.009985211471755018
2020-10-28,0.9758173207354333,1,0.018882609071789958
2020-10-29,1.010154248764637,1,0.035187864879592023
2020-10-30,0.9625548061312208,1,-0.04712096463646798
2020-11-02,1.0181931759604,-1,0.057802807149034297
2020-11-03,1.0181931759604,0,0.0
2020-11-04,1.0609705710767738,1,0.042013044406848055
2020-11-05,1.0609705710767738,0,-0.0
2020-11-06,1.110438603362283,1,0.04662526335231365
2020-11-09,1.110438603362283,0,-0.0
2020-11-10,1.0198386289564765,1,-0.08158935949405943
2020-11-11,0.9839167668583088,1,-0.0352230843961302
2020-11-12,0.9795594875611351,1,-0.004428503958812113
2020-11-13,0.9660840640636668,1,-0.013756615773299119
2020-11-16,1.0084726007768976,1,0.04387665451692757
2020-11-17,0.9975306444707064,1,-0.010850028347584084
2020-11-18,0.9867996908929273,1,-0.010757517713626763
2020-11-19,0.9867996908929273,0,0.0
2020-11-20,1.0178608626959094,1,0.031476673624487805
2020-11-23,1.0178608626959094,0,0.0
2020-11-24,1.0178608626959094,0,0.0
2020-11-25,1.0178608626959094,0,0.0
2020-11-26,1.0290781826335942,1,0.011020484575833489
2020-11-27,1.0548823821681033,-1,0.025075062293587247
2020-11-30,1.107448494299432,1,0.04983125419469947
2020-12-01,1.1503020637736097,1,0.03869576751854864
2020-12-02,1.151525766004227,1,0.0010638094715773594
2020-12-03,1.151525766004227,0,0.0
2020-12-04,1.133603198164535,-1,-0.01556419176088708
2020-12-07,1.133603198164535,0,-0.0
2020-12-08,1.1557686301574,-1,0.01955307821004204
2020-12-09,1.1562892491915324,-1,0.00045045264298404497
2020-12-10,1.1562892491915324,0,-0.0
2020-12-11,1.1115787190493815,1,-0.03866725403994897
2020-12-14,1.1008442972545303,1,-0.009656915530041221
2020-12-15,1.1688328435770996,1,0.06176036565037446
2020-12-16,1.1220659593142817,1,-0.04001161031691447
2020-12-17,1.1220659593142817,0,0.0
2020-12-18,1.0900274564698542,1,-0.028553136808469715
2020-12-21,1.1494083144290876,1,0.054476479107731235
2020-12-22,1.1346013303777285,1,-0.012882266349981797
2020-12-23,1.1346013303777285,0,-0.0
2020-12-24,1.0562836791286063,1,-0.06902658154212538
2020-12-25,1.1025209202606332,1,0.04377350710385941
2020-12-28,1.1206686711358422,-1,0.016460232673788044
2020-12-29,1.1792420308300704,1,0.052266438067606336
2020-12-30,1.2489917590283002,1,0.059147932633585754
2020-12-31,1.2510440282274624,1,0.0016431407047543534
2021-01-01,1.3229494752136275,1,0.05747635204177759
2021-01-04,1.3229494752136275,0,-0.0
2021-01-05,1.3229494752136275,0,-0.0
2021-01-06,1.2863994038674373,1,-0.027627715215872595
2021-01-07,1.2863994038674373,0,0.0
2021-01-08,1.2865652880630887,1,0.0001289523262779646
2021-01-11,1.2940218829806602,-1,0.0057957376798167815
2021-01-12,1.3218425933752,-1,0.021499412614612967
2021-01-13,1.3683285683070971,-1,0.03516755713946207
2021-01-14,1.444630281402946,-1,0.055762712891575306
2021-01-15,1.4797829735142296,1,0.02433334851401936
2021-01-18,1.5376299540225145,1,0.0390915300038277
2021-01-19,1.5376299540225145,0,-0.0
2021-01-20,1.5847326414991447,1,0.030633305076691153
2021-01-21,1.6202998402521265,1,0.02244365883656907
2021-01-22,1.6849743679814244,-1,0.03991516022073682
2021-01-25,1.6791080023381522,1,-0.0034815755982686714
2021-01-26,1.719744222120871,1,0.024201075646196113
2021-01-27,1.8130668462113273,1,0.05426540929171808
2021-01-28,1.8386650462036935,-1,0.014118729293328136
2021-01-29,1.8465362244025891,-1,0.004280920124710819
2021-02-01,1.870474179054261,1,0.012963707039874928
2021-02-02,1.8811952854722709,1,0.005731758576550172
2021-02-03,1.9589550849683468,-1,0.04133531489079523
2021-02-04,1.9589550849683468,0,0.0
2021-02-05,1.9589550849683468,0,0.0
2021-02-08,1.9589550849683468,0,-0.0
2021-02-09,1.889354752928021,1,-0.03552931487525679
