date,equity,position,ret
2020-12-21,1.0,0,0.0
2020-12-22,0.9761172950397197,-1,-0.023882704960280332
2020-12-23,0.9761172950397197,0,0.0
2020-12-24,0.9935585165433202,-1,0.01786795664028351
2020-12-25,0.9935585165433202,0,0.0
2020-12-28,0.980293308135954,-1,-0.013351210005744907
2020-12-29,0.9907451161850919,-1,0.01066191920560211
2020-12-30,0.9866012514348459,1,-0.004182573986538651
2020-12-31,0.9889338828788069,-1,0.002364310242429335
2021-01-01,0.9929614272682923,-1,0.0040726123952403714
2021-01-04,0.9929614272682923,0,-0.0
2021-01-05,0.9911568048818065,1,-0.0018174143898525008
2021-01-06,0.9684888225689615,-1,-0.022870228203243803
2021-01-07,0.9669863658670068,-1,-0.0015513412926846382
2021-01-08,0.9702789615253807,-1,0.003405007324401743
2021-01-11,0.9800487146415378,1,0.010069014689134237
2021-01-12,0.9800487146415378,0,-0.0
2021-01-13,0.9561174672372938,-1,-0.024418426397301074
2021-01-14,0.9561174672372938,0,-0.0
2021-01-15,0.9562554195301822,1,0.0001442838329133167
2021-01-18,0.9641687829663536,-1,0.008275365843217086
2021-01-19,0.9708080877291311,-1,0.006886039954904111
2021-01-20,0.9890071332975879,-1,0.01874628548988211
2021-01-21,0.9849254108638328,-1,-0.004127090994931137
2021-01-22,0.9883186346717598,-1,0.0034451581515709817
2021-01-25,0.991927786391421,-1,0.003651809844564702
2021-01-26,0.9738930914058307,-1,-0.018181459611288364
2021-01-27,0.9776907079199352,-1,0.0038994182704620295
2021-01-28,0.9820429515334487,-1,0.004451554646328737
2021-01-29,0.9820429515334487,0,0.0
2021-02-01,0.9820429515334487,0,0.0
2021-02-02,0.9820429515334487,0,0.0
2021-02-03,0.9750914895408369,-1,-0.007078572257717575
2021-02-04,0.9750914895408369,0,-0.0
2021-02-05,1.0027151480345753,1,0.028329299137608288
2021-02-08,1.0027151480345753,0,0.0
2021-02-09,1.0126195219644447,-1,0.009877554906079555
2021-02-10,1.020160358402106,-1,0.007446860616544426
2021-02-11,1.0183396312243922,-1,-0.00178474605753709
2021-02-12,1.0359089775359163,-1,0.017252933866866993
2021-02-15,1.0541287167127857,-1,0.017588166114949844
2021-02-16,1.061300798121633,-1,0.006803800423170858
2021-02-17,1.0617989818934201,-1,0.0004694086470762304
2021-02-18,1.059336506615366,-1,-0.0023191539265399186
2021-02-19,1.059336506615366,0,0.0
2021-02-22,1.0432845826010764,-1,-0.015152809248098364
2021-02-23,1.0487940030347211,-1,0.005280841417122151
2021-02-24,1.0508168212031295,-1,0.0019287087479096243
2021-02-25,1.0415752321209328,-1,-0.008794671816935162
2021-02-26,1.0415752321209328,0,0.0
2021-03-01,1.0682271678797293,1,0.025588104379676624
2021-03-02,1.0682271678797293,0,-0.0
2021-03-03,1.0711338335552776,-1,0.0027210183029866553
2021-03-04,1.0711338335552776,0,0.0
2021-03-05,1.0711338335552776,0,-0.0
2021-03-08,1.0661047535113608,-1,-0.00469509960975123
2021-03-09,1.0561316620104926,1,-0.009354701278669442
2021-03-10,1.0561316620104926,0,-0.0
2021-03-11,1.0470206825735715,-1,-0.008626745854372952
2021-03-12,1.0470206825735715,0,0.0
2021-03-15,1.0470206825735715,0,0.0
2021-03-16,1.0470206825735715,0,0.0
2021-03-17,1.0699216035250447,-1,0.021872462820106797
2021-03-18,1.0728583543290917,-1,0.0027448280269988246
2021-03-19,1.065816559063893,1,-0.0065635833815193
2021-03-22,1.0603121456812894,1,-0.005164503530924791
2021-03-23,1.0496387752745457,-1,-0.010066253084261012
2021-03-24,1.0496387752745457,0,-0.0
2021-03-25,1.0496387752745457,0,0.0
2021-03-26,1.0496387752745457,0,0.0
2021-03-29,1.0496387752745457,0,-0.0
2021-03-30,1.0463807720689215,-1,-0.003103928020163016
2021-03-31,1.0368586252690486,-1,-0.009100078149415491
2021-04-01,1.0255353452862324,-1,-0.010920755932254611
2021-04-02,1.030936746052947,-1,0.005266908441080909
2021-04-05,1.0113779605739353,-1,-0.018971857928136382
2021-04-06,0.9931594470054861,-1,-0.01801355603805188
2021-04-07,0.9931594470054861,0,0.0
2021-04-08,0.9826392614364482,-1,-0.01059264511932878
2021-04-09,0.9809027348036319,-1,-0.0017672066453744417
2021-04-12,0.9628579038519834,-1,-0.018396147050462552
2021-04-13,0.957626982983132,-1,-0.005432702840081349
2021-04-14,0.9884802103791601,-1,0.03221841901312816
2021-04-15,0.9799028232730864,1,-0.008677348333340551
2021-04-16,0.9799028232730864,0,-0.0
2021-04-19,1.012810668981283,-1,0.03358276446053832
2021-04-20,1.0120107476277813,-1,-0.0007898034430326994
